data_hora_dispositivo;entradas_4a20 (1);status (1);status (2);timestamp_dispositivo;codigo_produto;rele (1);tipo_sensor;temperatura;pulso (1);pulso (2);timestamp_servidor;dia_sem;sinal;id_dispositivo;umidade;ct_pulso (1);ct_pulso (2);Hidrômetro  (1);Vazão (1);Sonda de nível (1)
2025-03-01 01:40:00;460;0;0;1740804000;25;0;DISABLED;-32768;32157;0;1740804001;Saturday;-86;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 01:43:00;460;0;0;1740804180;25;0;DISABLED;-32768;32157;0;1740804181;Saturday;-84;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 01:46:00;460;0;0;1740804360;25;0;DISABLED;-32768;32157;0;1740804361;Saturday;-82;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 01:49:00;460;0;0;1740804540;25;0;DISABLED;-32768;32157;0;1740804541;Saturday;-81;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 01:52:00;460;0;0;1740804720;25;0;DISABLED;-32768;32157;0;1740804721;Saturday;-84;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 01:55:00;460;0;0;1740804900;25;0;DISABLED;-32768;32157;0;1740804901;Saturday;-93;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 01:58:00;460;0;0;1740805080;25;0;DISABLED;-32768;32157;0;1740805081;Saturday;-85;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:01:00;460;0;0;1740805260;25;0;DISABLED;-32768;32157;0;1740805261;Saturday;-84;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:04:00;460;0;0;1740805440;25;0;DISABLED;-32768;32157;0;1740805441;Saturday;-86;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:07:00;460;0;0;1740805620;25;0;DISABLED;-32768;32157;0;1740805621;Saturday;-89;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:10:00;460;0;0;1740805800;25;0;DISABLED;-32768;32157;0;1740805801;Saturday;-85;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:13:00;460;0;0;1740805980;25;0;DISABLED;-32768;32157;0;1740805981;Saturday;-85;2756562;-32768;0;0;5867.9;0;11.25
